uiu.ac.bd,['103.109.52.58']
google.com,['142.250.195.142']
youtube.com,['142.250.183.238']
microsoft.com,"['20.236.44.162', '20.70.246.20', '20.76.201.171', '20.112.250.133', '20.231.239.246']"
office.com,['13.107.6.156']
example.com,['93.184.216.34']
m.root-servers.net,['202.12.27.33']
substrate.office.com,"['40.99.8.194', '40.99.10.66', '52.98.33.226', '52.98.54.130']"
server.events.data.microsoft.com,['20.189.173.10']
outlook.office365.com,"['52.98.84.98', '52.98.40.34', '52.98.65.18', '52.98.66.98']"
dns.msftncsi.com,['131.107.255.255']
lms.uiu.ac.bd,['103.109.52.58']
cse.uiu.ac.bd,['103.109.52.58']
yahoo.com,"['98.137.11.163', '98.137.11.164', '34.225.127.72', '54.161.105.65', '74.6.143.25', '74.6.143.26', '74.6.231.20', '74.6.231.21']"
github.com,['20.205.243.166']
apple.com,['17.253.144.10']
amazon.com,"['54.239.28.85', '205.251.242.103', '52.94.236.248']"
twitter.com,['104.244.42.1']
facebook.com,['31.13.64.35']
riot.com,"['67.199.248.12', '67.199.248.13']"
torrentbd.com,['87.98.146.43']
crazyhd.com,"['104.21.235.30', '104.21.235.29']"
buet.ac.bd,['103.94.135.200']
nid.gov.bd,['180.211.148.20']
ea.com,['23.36.27.196']
ubisoft.com,"['44.206.208.161', '44.207.94.132', '52.1.85.74', '52.44.174.32', '3.214.82.198', '3.234.112.135', '18.205.15.92', '44.194.164.250']"
